# Aircraft families, used only for artwork fallback (<brand>_<FAMILY>, ANY_<FAMILY>).
# Group types only when one side-profile illustration can credibly stand in for the others.
# Exact subtypes always remain distinct artwork keys; unlisted types have no family fallback.
# Family codes must not reuse an ICAO type designator.
# Deliberately not grouped: V-tail Bonanza (BE35), T-tail DA20/DA40/PA-38, SF50, helicopters
# with distinctive shapes (B47G, H47), and military types flying under airliner codes.
type,family,family_name,notes
BCS1,A220-FAM,Airbus A220,
BCS3,A220-FAM,Airbus A220,
A306,A300-FAM,Airbus A300/A310,
A30B,A300-FAM,Airbus A300/A310,
A310,A300-FAM,Airbus A300/A310,shorter fuselage
A318,A320-FAM,Airbus A320 family,ceo and neo together; neo has larger nacelles
A319,A320-FAM,Airbus A320 family,
A320,A320-FAM,Airbus A320 family,
A321,A320-FAM,Airbus A320 family,
A19N,A320-FAM,Airbus A320 family,
A20N,A320-FAM,Airbus A320 family,
A21N,A320-FAM,Airbus A320 family,
A332,A330-FAM,Airbus A330,
A333,A330-FAM,Airbus A330,
A338,A330-FAM,Airbus A330,
A339,A330-FAM,Airbus A330,
A342,A340-FAM,Airbus A340,
A343,A340-FAM,Airbus A340,
A345,A340-FAM,Airbus A340,
A346,A340-FAM,Airbus A340,
A359,A350-FAM,Airbus A350,
A35K,A350-FAM,Airbus A350,
B721,727-FAM,Boeing 727,
B722,727-FAM,Boeing 727,
B733,737-CLASSIC,Boeing 737 Classic,
B734,737-CLASSIC,Boeing 737 Classic,
B735,737-CLASSIC,Boeing 737 Classic,
B736,737NG,Boeing 737 Next Generation,
B737,737NG,Boeing 737 Next Generation,
B738,737NG,Boeing 737 Next Generation,
B739,737NG,Boeing 737 Next Generation,
B37M,737MAX,Boeing 737 MAX,kept apart from NG: AT winglets and serrated nacelles
B38M,737MAX,Boeing 737 MAX,
B39M,737MAX,Boeing 737 MAX,
B3XM,737MAX,Boeing 737 MAX,
B741,747-FAM,Boeing 747,
B742,747-FAM,Boeing 747,
B743,747-FAM,Boeing 747,
B744,747-FAM,Boeing 747,
B748,747-FAM,Boeing 747,
B752,757-FAM,Boeing 757,
B753,757-FAM,Boeing 757,
B762,767-FAM,Boeing 767,
B763,767-FAM,Boeing 767,
B764,767-FAM,Boeing 767,
B772,777-FAM,Boeing 777,
B77L,777-FAM,Boeing 777,
B773,777-FAM,Boeing 777,
B77W,777-FAM,Boeing 777,
B778,777X-FAM,Boeing 777X,kept apart from 777: folding wingtips
B779,777X-FAM,Boeing 777X,
B788,787-FAM,Boeing 787,
B789,787-FAM,Boeing 787,
B78X,787-FAM,Boeing 787,
DC91,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
DC93,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
DC94,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
DC95,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD81,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD82,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD83,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD87,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD88,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
MD90,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,
B712,DC9-MD80,DC-9 / MD-80 / MD-90 / 717,717 is a DC-9 derivative with a close side profile
DC10,DC10-MD11,DC-10 / MD-11,
MD11,DC10-MD11,DC-10 / MD-11,
CRJ1,CRJ-FAM,Bombardier CRJ,CRJ100/200 are shorter
CRJ2,CRJ-FAM,Bombardier CRJ,
CRJ7,CRJ-FAM,Bombardier CRJ,
CRJ9,CRJ-FAM,Bombardier CRJ,
CRJX,CRJ-FAM,Bombardier CRJ,
E135,ERJ-FAM,Embraer ERJ 135/140/145,
E145,ERJ-FAM,Embraer ERJ 135/140/145,
E45X,ERJ-FAM,Embraer ERJ 135/140/145,
E35L,ERJ-FAM,Embraer ERJ 135/140/145,Legacy 600/650 business version of the ERJ-135
E170,EJET-E1,Embraer E-Jet,
E75S,EJET-E1,Embraer E-Jet,
E75L,EJET-E1,Embraer E-Jet,
E190,EJET-E1,Embraer E-Jet,
E195,EJET-E1,Embraer E-Jet,
