# Aircraft display names by ICAO type designator. Types not listed fall back to the aircraft
# database description ("CESSNA 172 Skyhawk" -> Cessna / 172 Skyhawk).
type,manufacturer,model
A19N,Airbus,A319neo
A20N,Airbus,A320neo
A21N,Airbus,A321neo
A306,Airbus,A300-600
A319,Airbus,A319
A320,Airbus,A320
A321,Airbus,A321
A332,Airbus,A330-200
A333,Airbus,A330-300
A339,Airbus,A330-900neo
A343,Airbus,A340-300
A359,Airbus,A350-900
A35K,Airbus,A350-1000
A388,Airbus,A380
AT75,ATR,72-500
AT76,ATR,72-600
B37M,Boeing,737 MAX 7
B38M,Boeing,737 MAX 8
B39M,Boeing,737 MAX 9
B712,Boeing,717
B737,Boeing,737-700
B738,Boeing,737-800
B739,Boeing,737-900
B744,Boeing,747-400
B748,Boeing,747-8
B752,Boeing,757-200
B753,Boeing,757-300
B762,Boeing,767-200
B763,Boeing,767-300
B764,Boeing,767-400
B772,Boeing,777-200
B77L,Boeing,777-200LR
B77W,Boeing,777-300ER
B788,Boeing,787-8 Dreamliner
B789,Boeing,787-9 Dreamliner
B78X,Boeing,787-10 Dreamliner
BCS1,Airbus,A220-100
BCS3,Airbus,A220-300
CRJ2,Bombardier,CRJ-200
CRJ7,Bombardier,CRJ-700
CRJ9,Bombardier,CRJ-900
DH8D,De Havilland Canada,Dash 8-400
E135,Embraer,ERJ-135
E145,Embraer,ERJ-145
E170,Embraer,E170
E190,Embraer,E190
E195,Embraer,E195
E295,Embraer,E195-E2
E75L,Embraer,E175
E75S,Embraer,E175
MD11,McDonnell Douglas,MD-11
MD88,McDonnell Douglas,MD-88
B350,Beechcraft,King Air 350
BE20,Beechcraft,King Air 200
BE35,Beechcraft,Bonanza
BE36,Beechcraft,Bonanza
BE40,Beechcraft,Beechjet 400
C150,Cessna,150
C152,Cessna,152
C172,Cessna,172 Skyhawk
C182,Cessna,182 Skylane
C208,Cessna,208 Caravan
C25A,Cessna,Citation CJ2
C25B,Cessna,Citation CJ3
C25C,Cessna,Citation CJ4
C510,Cessna,Citation Mustang
C560,Cessna,Citation V
C56X,Cessna,Citation Excel
C650,Cessna,Citation III
C680,Cessna,Citation Sovereign
C68A,Cessna,Citation Latitude
C700,Cessna,Citation Longitude
C750,Cessna,Citation X
C72R,Cessna,172RG Cutlass
CL30,Bombardier,Challenger 300
CL35,Bombardier,Challenger 350
CL60,Bombardier,Challenger 600
DA40,Diamond,DA40
DV20,Diamond,DA20
E50P,Embraer,Phenom 100
E545,Embraer,Praetor 500
E550,Embraer,Praetor 600
E55P,Embraer,Phenom 300
F2TH,Dassault,Falcon 2000
F900,Dassault,Falcon 900
FA7X,Dassault,Falcon 7X
G280,Gulfstream,G280
GA5C,Gulfstream,G500
GA6C,Gulfstream,G600
GL5T,Bombardier,Global 5000
GL7T,Bombardier,Global 7500
GLEX,Bombardier,Global Express
GLF4,Gulfstream,IV
GLF5,Gulfstream,V
GLF6,Gulfstream,G650
H25B,Hawker,800
HDJT,Honda,HondaJet
LJ45,Learjet,45
LJ60,Learjet,60
M20P,Mooney,M20
P28A,Piper,PA-28 Cherokee
PC12,Pilatus,PC-12
PC24,Pilatus,PC-24
S22T,Cirrus,SR22T
SR20,Cirrus,SR20
SR22,Cirrus,SR22
C17,Boeing,C-17 Globemaster III
C30J,Lockheed Martin,C-130J Super Hercules
K35R,Boeing,KC-135 Stratotanker
