# Sightings per day near the location, exported by the offline analysis.
# Source: data/analysis/2026-09-08_2026-09-14 (15 NM, 2026-09-08..14). Regenerate with: python -m airframe.analysis
# then copy traffic_frequency_15nm.csv here. Used by scoring.py for rarity.
kind,key,per_day
combo,delta-connection_CRJ9,57.571
combo,united-express_E75L,29.143
combo,delta_A21N,24.429
combo,delta-connection_CRJ7,23.857
combo,delta_B739,20.571
combo,american_B738,20.286
combo,delta_B712,18.286
combo,delta_A321,18.143
combo,delta_A319,16.857
combo,southwest_B38M,16.857
combo,american-eagle_E75L,16.714
combo,united_B39M,16.571
combo,southwest_B737,16.429
combo,american-eagle_E170,15.0
combo,delta_B752,15.0
combo,united_B739,14.143
combo,united_B738,14.0
combo,american-eagle_CRJ9,13.143
combo,atp-flight-school_C172,13.143
combo,american_A321,12.857
combo,southwest_B738,12.143
combo,delta_BCS1,11.429
combo,united_B38M,11.429
combo,alaska_B739,10.571
combo,jetblue_A321,10.429
combo,netjets_C68A,10.143
combo,united_A21N,9.714
combo,alaska_B39M,8.571
combo,american-eagle_CRJ7,8.286
combo,delta-connection_E75L,8.143
combo,netjets_E55P,8.143
combo,delta_B763,7.714
combo,united_A319,7.286
combo,american_A21N,6.714
combo,united-express_CRJ7,6.714
combo,american_A319,6.429
combo,air-canada_BCS3,6.286
combo,jetblue_BCS3,6.286
combo,united_A320,6.286
combo,delta_A320,5.857
combo,flexjet_E545,5.429
combo,delta_B753,5.143
combo,delta_BCS3,5.143
combo,american_B38M,5.0
combo,flexjet_CL35,4.857
combo,delta-connection_E170,4.714
combo,american_B788,4.429
combo,frontier_A20N,4.286
combo,united_B737,4.286
combo,alaska_B738,3.571
combo,flexjet_E55P,3.571
combo,frontier_A21N,3.429
combo,jetblue_A21N,3.429
combo,netjets_CL35,3.429
combo,united_B752,3.429
combo,delta_A359,3.286
combo,delta_A333,2.714
combo,netjets_C700,2.714
combo,fedex_B763,2.429
combo,united-express_E170,2.429
combo,ups_A306,2.286
combo,porter_E295,2.0
combo,air-canada-express_DH8D,1.857
combo,delta_B738,1.857
combo,air-canada_A321,1.571
combo,allegiant_A320,1.571
combo,american_B789,1.571
combo,flexjet_E550,1.571
combo,jetblue_A320,1.571
combo,united_B763,1.571
combo,united_B78X,1.571
combo,aeromexico-connect_E190,1.429
combo,air-canada_A320,1.429
combo,flexjet_GLF4,1.429
combo,netjets_C56X,1.429
combo,breeze_BCS3,1.286
combo,delta_B764,1.286
combo,netjets_C680,1.286
combo,netjets_CL60,1.286
combo,united_B772,1.286
combo,wheels-up_CL30,1.286
combo,air-canada-express_E75S,1.143
combo,alaska_B38M,1.143
combo,delta_A339,1.143
combo,united_B788,1.143
combo,british-airways_B78X,1.0
combo,frontier_A321,1.0
combo,qatar-airways_A35K,1.0
combo,sun-country_B738,1.0
combo,westjet_B38M,1.0
combo,etihad_B789,0.857
combo,flexjet_CL30,0.857
combo,qatar-airways_B77L,0.857
combo,swiss_B77W,0.857
combo,united-express_CRJ2,0.857
combo,wheels-up_E55P,0.857
combo,air-canada-rouge_B38M,0.714
combo,cargolux_B744,0.714
combo,delta_A332,0.714
combo,flexjet_GLEX,0.714
combo,flexjet_GLF6,0.714
combo,lufthansa_A359,0.714
combo,military_C17,0.714
combo,netjets_E545,0.714
combo,ups_B763,0.714
combo,alaska_A332,0.571
combo,american_B772,0.571
combo,british-airways_B789,0.571
combo,emirates_B77W,0.571
combo,klm_B772,0.571
combo,lufthansa_B789,0.571
combo,military_EC45,0.571
combo,netjets_GL5T,0.571
combo,tap-air-portugal_A339,0.571
